epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.696,1.5921,5.47903,1.02063,0,0,0,0,1.03925,5.38428,0.87653,1.638e-05,1.638e-05,1.638e-05
2,225.385,1.3131,5.34515,0.92235,0,0,0,0,0.9912,5.34818,0.84399,3.38953e-05,3.38953e-05,3.38953e-05
3,332.488,1.24736,5.2222,0.87664,0,0,0,0,0.94285,5.29289,0.82361,5.06899e-05,5.06899e-05,5.06899e-05
4,452.875,1.16222,5.0533,0.86056,0,0,0,0,0.88034,5.24499,0.81098,6.67638e-05,6.67638e-05,6.67638e-05
5,561.942,1.09475,4.86654,0.84297,0,0,0,0,0.86168,5.14631,0.80464,8.21169e-05,8.21169e-05,8.21169e-05
6,652.249,1.09134,4.67849,0.84016,0.03375,0.07096,0.03655,0.02946,0.90483,4.95848,0.80574,9.67494e-05,9.67494e-05,9.67494e-05
7,760.666,1.07534,4.5412,0.83589,0.02078,0.21143,0.05777,0.04503,0.89649,4.73155,0.80554,0.000110661,0.000110661,0.000110661
8,862.401,1.06656,4.38118,0.83452,0.01986,0.30774,0.07606,0.05791,0.93551,4.47347,0.80803,0.000123852,0.000123852,0.000123852
9,963.37,1.04119,4.20823,0.83178,0.64041,0.09033,0.09728,0.07845,0.88402,4.19883,0.80605,0.000136322,0.000136322,0.000136322
10,1059.77,1.0459,4.0937,0.83566,0.59198,0.11388,0.11628,0.09005,0.8814,3.94087,0.80689,0.000148072,0.000148072,0.000148072
11,1152.3,1.05883,3.96693,0.83217,0.60263,0.13604,0.1346,0.10735,0.86916,3.76156,0.80681,0.000145964,0.000145964,0.000145964
12,1259.14,1.06643,3.82155,0.82919,0.49662,0.15741,0.16007,0.1289,0.91828,3.5484,0.81274,0.00014236,0.00014236,0.00014236
13,1360.72,1.08059,3.70604,0.83095,0.50962,0.17189,0.18277,0.14981,0.8719,3.46217,0.81011,0.000138757,0.000138757,0.000138757
14,1475.1,1.02812,3.57914,0.82999,0.51868,0.21829,0.2273,0.18521,0.84729,3.33447,0.80768,0.000135153,0.000135153,0.000135153
15,1601.8,1.07318,3.49466,0.827,0.54922,0.22846,0.26609,0.21506,0.83889,3.24773,0.80603,0.00013155,0.00013155,0.00013155
